,Symptom,Disease
33,"depression ,insomnia ,abusing alcohol ,acne or pimples ,weight gain ,difficulty eating ",eating disorder
34,"anxiety and nervousness ,depression ,depressive or psychotic symptoms ,insomnia ,abusing alcohol ,acne or pimples ",eating disorder
35,"depression ,depressive or psychotic symptoms ,insomnia ",eating disorder
36,"anxiety and nervousness ,abusing alcohol ,acne or pimples ,weight gain ,difficulty eating ,decreased appetite ",eating disorder
37,"anxiety and nervousness ,insomnia ,abusing alcohol ,acne or pimples ,difficulty eating ",eating disorder
38,"depression ,acne or pimples ,decreased appetite ",eating disorder
39,"depression ,depressive or psychotic symptoms ,insomnia ,acne or pimples ,weight gain ,decreased appetite ",eating disorder
40,"anxiety and nervousness ,depression ,depressive or psychotic symptoms ,abusing alcohol ,acne or pimples ,difficulty eating ,decreased appetite ",eating disorder
41,"insomnia ,abusing alcohol ,weight gain ,difficulty eating ",eating disorder
42,"depression ,depressive or psychotic symptoms ,abusing alcohol ,difficulty eating ,decreased appetite ",eating disorder
43,"anxiety and nervousness ,depressive or psychotic symptoms ,insomnia ,decreased appetite ",eating disorder
44,"depression ,depressive or psychotic symptoms ,insomnia ,abusing alcohol ,acne or pimples ,weight gain ,difficulty eating ",eating disorder
45,"depressive or psychotic symptoms ,insomnia ,abusing alcohol ,acne or pimples ",eating disorder
46,"depressive or psychotic symptoms ,insomnia ,abusing alcohol ,weight gain ,decreased appetite ",eating disorder
47,"anxiety and nervousness ,depressive or psychotic symptoms ,abusing alcohol ,acne or pimples ,weight gain ,difficulty eating ",eating disorder
48,"anxiety and nervousness ,weight gain ,difficulty eating ,decreased appetite ",eating disorder
49,"anxiety and nervousness ,depressive or psychotic symptoms ,insomnia ,acne or pimples ,weight gain ,decreased appetite ",eating disorder
50,"anxiety and nervousness ,depression ,abusing alcohol ,acne or pimples ,weight gain ,difficulty eating ,decreased appetite ",eating disorder
51,"anxiety and nervousness ,depression ,abusing alcohol ,acne or pimples ,weight gain ,difficulty eating ",eating disorder
52,"abusing alcohol ,weight gain ,decreased appetite ",eating disorder
53,"anxiety and nervousness ,depression ,depressive or psychotic symptoms ,insomnia ,abusing alcohol ,acne or pimples ,difficulty eating ",eating disorder
54,"insomnia ,abusing alcohol ,weight gain ",eating disorder
55,"depressive or psychotic symptoms ,abusing alcohol ,acne or pimples ",eating disorder
56,"anxiety and nervousness ,depression ,depressive or psychotic symptoms ,difficulty eating ,decreased appetite ",eating disorder
57,"anxiety and nervousness ,depression ,depressive or psychotic symptoms ,insomnia ,weight gain ,decreased appetite ",eating disorder
58,"anxiety and nervousness ,depression ,depressive or psychotic symptoms ,abusing alcohol ,weight gain ,difficulty eating ,decreased appetite ",eating disorder
59,"anxiety and nervousness ,depressive or psychotic symptoms ,insomnia ,acne or pimples ,weight gain ,difficulty eating ,decreased appetite ",eating disorder
60,"anxiety and nervousness ,depressive or psychotic symptoms ,insomnia ,abusing alcohol ",eating disorder
61,"anxiety and nervousness ,depression ,weight gain ,decreased appetite ",eating disorder
62,"depression ,abusing alcohol ,acne or pimples ,weight gain ",eating disorder
63,"insomnia ,abusing alcohol ,difficulty eating ,decreased appetite ",eating disorder
64,"anxiety and nervousness ,insomnia ,abusing alcohol ,acne or pimples ,difficulty eating ,decreased appetite ",eating disorder
65,"anxiety and nervousness ,depression ,depressive or psychotic symptoms ,insomnia ,acne or pimples ",eating disorder
66,"anxiety and nervousness ,depressive or psychotic symptoms ,insomnia ,difficulty eating ",eating disorder
67,"anxiety and nervousness ,insomnia ,abusing alcohol ,weight gain ,difficulty eating ,decreased appetite ",eating disorder
68,"anxiety and nervousness ,insomnia ,acne or pimples ,weight gain ,decreased appetite ",eating disorder
69,"anxiety and nervousness ,depression ,insomnia ,abusing alcohol ,decreased appetite ",eating disorder
70,"depression ,insomnia ,abusing alcohol ,acne or pimples ",eating disorder
71,"anxiety and nervousness ,depression ,insomnia ,abusing alcohol ,acne or pimples ,difficulty eating ,decreased appetite ",eating disorder
72,"depression ,depressive or psychotic symptoms ,insomnia ,acne or pimples ,weight gain ,decreased appetite ",eating disorder
73,"depression ,depressive or psychotic symptoms ,insomnia ,abusing alcohol ,acne or pimples ,weight gain ,decreased appetite ",eating disorder
74,"insomnia ,abusing alcohol ,acne or pimples ,weight gain ,difficulty eating ,decreased appetite ",eating disorder
75,"anxiety and nervousness ,depression ,depressive or psychotic symptoms ,insomnia ,weight gain ,difficulty eating ",eating disorder
76,"insomnia ,abusing alcohol ,acne or pimples ,weight gain ",eating disorder
77,"anxiety and nervousness ,depression ,abusing alcohol ,acne or pimples ,weight gain ,decreased appetite ",eating disorder
78,"depression ,depressive or psychotic symptoms ,abusing alcohol ,acne or pimples ,weight gain ,difficulty eating ,decreased appetite ",eating disorder
79,"depression ,abusing alcohol ,difficulty eating ",eating disorder
80,"depression ,insomnia ,acne or pimples ,weight gain ,difficulty eating ,decreased appetite ",eating disorder
81,"depression ,depressive or psychotic symptoms ,insomnia ,weight gain ",eating disorder
82,"depression ,depressive or psychotic symptoms ,insomnia ,abusing alcohol ,acne or pimples ,weight gain ,difficulty eating ,decreased appetite ",eating disorder
83,"depression ,abusing alcohol ,weight gain ,difficulty eating ,decreased appetite ",eating disorder
84,"anxiety and nervousness ,depression ,acne or pimples ",eating disorder
85,"abusing alcohol ,weight gain ,difficulty eating ,decreased appetite ",eating disorder
86,"anxiety and nervousness ,depression ,insomnia ,abusing alcohol ,acne or pimples ,difficulty eating ",eating disorder
87,"anxiety and nervousness ,depression ,depressive or psychotic symptoms ,insomnia ,abusing alcohol ,acne or pimples ,weight gain ,difficulty eating ,decreased appetite ",eating disorder
88,"depressive or psychotic symptoms ,insomnia ,acne or pimples ",eating disorder
89,"anxiety and nervousness ,depression ,abusing alcohol ,acne or pimples ,difficulty eating ",eating disorder
90,"depressive or psychotic symptoms ,insomnia ,decreased appetite ",eating disorder
91,"depression ,insomnia ,acne or pimples ,difficulty eating ",eating disorder
92,"anxiety and nervousness ,depression ,depressive or psychotic symptoms ,insomnia ,acne or pimples ",eating disorder
93,"depression ,insomnia ,abusing alcohol ,acne or pimples ,weight gain ,decreased appetite ",eating disorder
94,"anxiety and nervousness ,depression ,depressive or psychotic symptoms ,insomnia ,acne or pimples ,difficulty eating ,decreased appetite ",eating disorder
95,"depressive or psychotic symptoms ,insomnia ,acne or pimples ,difficulty eating ,decreased appetite ",eating disorder
96,"insomnia ,abusing alcohol ,weight gain ,difficulty eating ,decreased appetite ",eating disorder
97,"anxiety and nervousness ,abusing alcohol ,weight gain ,difficulty eating ",eating disorder
98,"depression ,insomnia ,abusing alcohol ,acne or pimples ,weight gain ,decreased appetite ",eating disorder
99,"anxiety and nervousness ,depression ,insomnia ,acne or pimples ,weight gain ,decreased appetite ",eating disorder
100,"anxiety and nervousness ,depression ,depressive or psychotic symptoms ,weight gain ,decreased appetite ",eating disorder
101,"depressive or psychotic symptoms ,abusing alcohol ,acne or pimples ,difficulty eating ,decreased appetite ",eating disorder
102,"anxiety and nervousness ,depression ,depressive or psychotic symptoms ,insomnia ,abusing alcohol ,acne or pimples ",eating disorder
103,"depression ,depressive or psychotic symptoms ,abusing alcohol ,acne or pimples ,weight gain ,difficulty eating ",eating disorder
104,"anxiety and nervousness ,depression ,depressive or psychotic symptoms ,insomnia ,decreased appetite ",eating disorder
105,"anxiety and nervousness ,insomnia ,abusing alcohol ,acne or pimples ,weight gain ,difficulty eating ,decreased appetite ",eating disorder
106,"anxiety and nervousness ,depression ,insomnia ,abusing alcohol ,acne or pimples ,difficulty eating ",eating disorder
107,"insomnia ,abusing alcohol ,acne or pimples ,weight gain ,difficulty eating ,decreased appetite ",eating disorder
108,"depressive or psychotic symptoms ,abusing alcohol ,acne or pimples ",eating disorder
109,"anxiety and nervousness ,depression ,depressive or psychotic symptoms ,acne or pimples ,difficulty eating ",eating disorder
110,"depressive or psychotic symptoms ,abusing alcohol ,acne or pimples ,difficulty eating ,decreased appetite ",eating disorder
111,"depression ,depressive or psychotic symptoms ,abusing alcohol ,acne or pimples ,weight gain ",eating disorder
112,"depression ,depressive or psychotic symptoms ,insomnia ,abusing alcohol ,acne or pimples ,difficulty eating ,decreased appetite ",eating disorder
113,"anxiety and nervousness ,depression ,depressive or psychotic symptoms ,insomnia ,abusing alcohol ",eating disorder
114,"depression ,depressive or psychotic symptoms ,insomnia ,weight gain ",eating disorder
115,"depressive or psychotic symptoms ,insomnia ,abusing alcohol ,weight gain ,difficulty eating ",eating disorder
116,"anxiety and nervousness ,depressive or psychotic symptoms ,abusing alcohol ,acne or pimples ,weight gain ,difficulty eating ,decreased appetite ",eating disorder
117,"depressive or psychotic symptoms ,insomnia ,abusing alcohol ,acne or pimples ,decreased appetite ",eating disorder
118,"depression ,depressive or psychotic symptoms ,insomnia ,abusing alcohol ,acne or pimples ,difficulty eating ,decreased appetite ",eating disorder
119,"anxiety and nervousness ,depression ,depressive or psychotic symptoms ,insomnia ,weight gain ,decreased appetite ",eating disorder
120,"anxiety and nervousness ,depression ,insomnia ,abusing alcohol ,acne or pimples ,weight gain ,decreased appetite ",eating disorder
121,"anxiety and nervousness ,depression ,depressive or psychotic symptoms ,abusing alcohol ,weight gain ,decreased appetite ",eating disorder
122,"anxiety and nervousness ,depressive or psychotic symptoms ,insomnia ,abusing alcohol ,acne or pimples ,decreased appetite ",eating disorder
123,"anxiety and nervousness ,depression ,depressive or psychotic symptoms ,insomnia ,abusing alcohol ,acne or pimples ,weight gain ,decreased appetite ",eating disorder
124,"depressive or psychotic symptoms ,insomnia ,weight gain ,difficulty eating ,decreased appetite ",eating disorder
125,"depressive or psychotic symptoms ,abusing alcohol ,difficulty eating ",eating disorder
126,"depression ,depressive or psychotic symptoms ,insomnia ,abusing alcohol ,acne or pimples ,decreased appetite ",eating disorder
127,"anxiety and nervousness ,depression ,insomnia ,abusing alcohol ,weight gain ,decreased appetite ",eating disorder
128,"anxiety and nervousness ,depression ,depressive or psychotic symptoms ,insomnia ,abusing alcohol ,acne or pimples ,difficulty eating ,decreased appetite ",eating disorder
129,"depression ,depressive or psychotic symptoms ,insomnia ,acne or pimples ,weight gain ",eating disorder
130,"insomnia ,abusing alcohol ,acne or pimples ,difficulty eating ",eating disorder
131,"depressive or psychotic symptoms ,insomnia ,weight gain ",eating disorder
132,"depression ,depressive or psychotic symptoms ,abusing alcohol ,acne or pimples ,difficulty eating ,decreased appetite ",eating disorder
133,"depression ,depressive or psychotic symptoms ,insomnia ,abusing alcohol ,acne or pimples ,difficulty eating ,decreased appetite ",eating disorder
134,"depressive or psychotic symptoms ,insomnia ,abusing alcohol ",eating disorder
135,"anxiety and nervousness ,depression ,abusing alcohol ,weight gain ",eating disorder
136,"anxiety and nervousness ,insomnia ,abusing alcohol ,acne or pimples ,difficulty eating ",eating disorder
137,"anxiety and nervousness ,insomnia ,abusing alcohol ,weight gain ,difficulty eating ",eating disorder
138,"depression ,depressive or psychotic symptoms ,insomnia ,difficulty eating ,decreased appetite ",eating disorder
139,"anxiety and nervousness ,insomnia ,abusing alcohol ,acne or pimples ,weight gain ,difficulty eating ",eating disorder
140,"depression ,depressive or psychotic symptoms ,abusing alcohol ",eating disorder
141,"anxiety and nervousness ,depressive or psychotic symptoms ,insomnia ,abusing alcohol ,acne or pimples ,difficulty eating ,decreased appetite ",eating disorder
142,"anxiety and nervousness ,depression ,abusing alcohol ,acne or pimples ,difficulty eating ,decreased appetite ",eating disorder
143,"anxiety and nervousness ,depression ,depressive or psychotic symptoms ,acne or pimples ,weight gain ,difficulty eating ,decreased appetite ",eating disorder
144,"depression ,insomnia ,abusing alcohol ",eating disorder
145,"depression ,depressive or psychotic symptoms ,insomnia ,abusing alcohol ,difficulty eating ,decreased appetite ",eating disorder
146,"depression ,abusing alcohol ,acne or pimples ,weight gain ,decreased appetite ",eating disorder
147,"depressive or psychotic symptoms ,insomnia ,acne or pimples ,difficulty eating ,decreased appetite ",eating disorder
148,"anxiety and nervousness ,depression ,depressive or psychotic symptoms ,weight gain ,difficulty eating ",eating disorder
149,"depression ,insomnia ,abusing alcohol ,weight gain ,difficulty eating ",eating disorder
150,"depression ,depressive or psychotic symptoms ,abusing alcohol ,acne or pimples ",eating disorder
151,"depression ,depressive or psychotic symptoms ,insomnia ,abusing alcohol ,acne or pimples ,weight gain ",eating disorder
152,"anxiety and nervousness ,depression ,abusing alcohol ,acne or pimples ,weight gain ",eating disorder
153,"depression ,insomnia ,abusing alcohol ,difficulty eating ,decreased appetite ",eating disorder
154,"depressive or psychotic symptoms ,abusing alcohol ,acne or pimples ,weight gain ,difficulty eating ,decreased appetite ",eating disorder
155,"anxiety and nervousness ,depressive or psychotic symptoms ,insomnia ,decreased appetite ",eating disorder
156,"insomnia ,abusing alcohol ,acne or pimples ,weight gain ,difficulty eating ",eating disorder
157,"anxiety and nervousness ,insomnia ,acne or pimples ,decreased appetite ",eating disorder
158,"depressive or psychotic symptoms ,insomnia ,abusing alcohol ,weight gain ,difficulty eating ,decreased appetite ",eating disorder
159,"depressive or psychotic symptoms ,insomnia ,abusing alcohol ,acne or pimples ,weight gain ,difficulty eating ,decreased appetite ",eating disorder
160,"anxiety and nervousness ,depression ,depressive or psychotic symptoms ,insomnia ,abusing alcohol ,acne or pimples ,difficulty eating ,decreased appetite ",eating disorder
161,"depression ,depressive or psychotic symptoms ,insomnia ,abusing alcohol ,difficulty eating ",eating disorder
162,"depression ,insomnia ,acne or pimples ,weight gain ,difficulty eating ,decreased appetite ",eating disorder
163,"abusing alcohol ,weight gain ,difficulty eating ,decreased appetite ",eating disorder
164,"anxiety and nervousness ,depression ,depressive or psychotic symptoms ,insomnia ,abusing alcohol ,difficulty eating ,decreased appetite ",eating disorder
165,"depressive or psychotic symptoms ,insomnia ,abusing alcohol ,difficulty eating ,decreased appetite ",eating disorder
166,"anxiety and nervousness ,depression ,insomnia ,acne or pimples ,decreased appetite ",eating disorder
167,"depressive or psychotic symptoms ,abusing alcohol ,acne or pimples ,weight gain ",eating disorder
168,"anxiety and nervousness ,depression ,insomnia ,abusing alcohol ,acne or pimples ,difficulty eating ,decreased appetite ",eating disorder
169,"anxiety and nervousness ,depressive or psychotic symptoms ,abusing alcohol ,decreased appetite ",eating disorder
170,"abusing alcohol ,acne or pimples ,weight gain ,decreased appetite ",eating disorder
171,"insomnia ,abusing alcohol ,acne or pimples ,difficulty eating ,decreased appetite ",eating disorder
172,"depression ,depressive or psychotic symptoms ,insomnia ,abusing alcohol ,acne or pimples ,difficulty eating ,decreased appetite ",eating disorder
173,"depressive or psychotic symptoms ,abusing alcohol ",eating disorder
174,"insomnia ,abusing alcohol ,acne or pimples ,weight gain ,difficulty eating ,decreased appetite ",eating disorder
175,"depression ,insomnia ,weight gain ",eating disorder
176,"abusing alcohol ,weight gain ,decreased appetite ",eating disorder
177,"anxiety and nervousness ,depressive or psychotic symptoms ,insomnia ,abusing alcohol ,decreased appetite ",eating disorder
178,"anxiety and nervousness ,depressive or psychotic symptoms ,insomnia ,abusing alcohol ,acne or pimples ,weight gain ,decreased appetite ",eating disorder
179,"insomnia ,difficulty eating ,decreased appetite ",eating disorder
180,"depression ,insomnia ,acne or pimples ,weight gain ,decreased appetite ",eating disorder
181,"anxiety and nervousness ,depressive or psychotic symptoms ,insomnia ,acne or pimples ,decreased appetite ",eating disorder
182,"depression ,insomnia ,abusing alcohol ,acne or pimples ,difficulty eating ,decreased appetite ",eating disorder
183,"anxiety and nervousness ,insomnia ,abusing alcohol ,acne or pimples ,difficulty eating ",eating disorder
184,"insomnia ,abusing alcohol ,acne or pimples ,weight gain ,difficulty eating ,decreased appetite ",eating disorder
185,"anxiety and nervousness ,depression ,abusing alcohol ,weight gain ",eating disorder
186,"depression ,insomnia ,abusing alcohol ,acne or pimples ,weight gain ",eating disorder
187,"depressive or psychotic symptoms ,abusing alcohol ,acne or pimples ,difficulty eating ",eating disorder
188,"anxiety and nervousness ,depression ,depressive or psychotic symptoms ,abusing alcohol ,acne or pimples ,difficulty eating ,decreased appetite ",eating disorder
189,"anxiety and nervousness ,depression ,abusing alcohol ,acne or pimples ,difficulty eating ",eating disorder
190,"depressive or psychotic symptoms ,insomnia ,acne or pimples ,weight gain ",eating disorder
191,"anxiety and nervousness ,depressive or psychotic symptoms ,insomnia ,abusing alcohol ,difficulty eating ",eating disorder
192,"anxiety and nervousness ,depressive or psychotic symptoms ,insomnia ,acne or pimples ,weight gain ",eating disorder
193,"anxiety and nervousness ,depression ,insomnia ,abusing alcohol ,difficulty eating ",eating disorder
194,"depression ,depressive or psychotic symptoms ,insomnia ,abusing alcohol ,acne or pimples ,weight gain ,difficulty eating ,decreased appetite ",eating disorder
195,"anxiety and nervousness ,depressive or psychotic symptoms ,insomnia ,abusing alcohol ,acne or pimples ,difficulty eating ",eating disorder
196,"anxiety and nervousness ,depressive or psychotic symptoms ,insomnia ,abusing alcohol ,acne or pimples ,difficulty eating ,decreased appetite ",eating disorder
197,"anxiety and nervousness ,depression ,insomnia ,acne or pimples ",eating disorder
198,"anxiety and nervousness ,depression ,depressive or psychotic symptoms ,abusing alcohol ,weight gain ,difficulty eating ,decreased appetite ",eating disorder
199,"depression ,depressive or psychotic symptoms ,insomnia ,abusing alcohol ,weight gain ,difficulty eating ,decreased appetite ",eating disorder
200,"depression ,abusing alcohol ,acne or pimples ,decreased appetite ",eating disorder
201,"depressive or psychotic symptoms ,abusing alcohol ,acne or pimples ,difficulty eating ",eating disorder
202,"anxiety and nervousness ,depression ,depressive or psychotic symptoms ,insomnia ,acne or pimples ,difficulty eating ",eating disorder
203,"anxiety and nervousness ,insomnia ,abusing alcohol ,acne or pimples ,weight gain ,decreased appetite ",eating disorder
204,"depression ,insomnia ,abusing alcohol ,acne or pimples ,weight gain ,decreased appetite ",eating disorder
205,"anxiety and nervousness ,depressive or psychotic symptoms ,insomnia ,abusing alcohol ,difficulty eating ,decreased appetite ",eating disorder
206,"insomnia ,abusing alcohol ,weight gain ,difficulty eating ",eating disorder
207,"anxiety and nervousness ,depressive or psychotic symptoms ,abusing alcohol ,weight gain ",eating disorder
208,"depression ,depressive or psychotic symptoms ,insomnia ,abusing alcohol ,acne or pimples ",eating disorder
209,"depression ,depressive or psychotic symptoms ,acne or pimples ,difficulty eating ",eating disorder
210,"anxiety and nervousness ,depression ,depressive or psychotic symptoms ,insomnia ,weight gain ,difficulty eating ,decreased appetite ",eating disorder
211,"anxiety and nervousness ,depression ,insomnia ,abusing alcohol ,acne or pimples ,weight gain ,difficulty eating ",eating disorder
212,"depressive or psychotic symptoms ,insomnia ,abusing alcohol ,acne or pimples ,decreased appetite ",eating disorder
213,"depression ,insomnia ,acne or pimples ,weight gain ",eating disorder
214,"anxiety and nervousness ,depression ,abusing alcohol ,weight gain ,difficulty eating ,decreased appetite ",eating disorder
215,"anxiety and nervousness ,abusing alcohol ,difficulty eating ",eating disorder
216,"depressive or psychotic symptoms ,insomnia ,abusing alcohol ,acne or pimples ,weight gain ,difficulty eating ",eating disorder
217,"anxiety and nervousness ,abusing alcohol ,acne or pimples ,decreased appetite ",eating disorder
218,"insomnia ,abusing alcohol ,weight gain ,decreased appetite ",eating disorder
219,"depression ,abusing alcohol ,acne or pimples ,weight gain ,difficulty eating ",eating disorder
220,"anxiety and nervousness ,depressive or psychotic symptoms ,insomnia ,abusing alcohol ,acne or pimples ",eating disorder
221,"anxiety and nervousness ,depression ,abusing alcohol ,acne or pimples ,decreased appetite ",eating disorder
222,"insomnia ,abusing alcohol ,acne or pimples ,weight gain ,difficulty eating ",eating disorder
223,"anxiety and nervousness ,depression ,depressive or psychotic symptoms ,acne or pimples ,weight gain ,decreased appetite ",eating disorder
224,"insomnia ,abusing alcohol ,acne or pimples ,weight gain ,decreased appetite ",eating disorder
225,"abusing alcohol ,acne or pimples ,difficulty eating ,decreased appetite ",eating disorder
226,"anxiety and nervousness ,depression ,insomnia ,abusing alcohol ,weight gain ,difficulty eating ,decreased appetite ",eating disorder
227,"anxiety and nervousness ,insomnia ,abusing alcohol ,acne or pimples ,weight gain ,difficulty eating ",eating disorder
228,"depressive or psychotic symptoms ,insomnia ,abusing alcohol ,acne or pimples ,weight gain ",eating disorder
229,"anxiety and nervousness ,depression ,acne or pimples ,difficulty eating ",eating disorder
230,"depression ,depressive or psychotic symptoms ,insomnia ,abusing alcohol ,acne or pimples ,decreased appetite ",eating disorder
231,"depression ,insomnia ,abusing alcohol ,acne or pimples ,weight gain ,difficulty eating ,decreased appetite ",eating disorder
232,"anxiety and nervousness ,insomnia ,abusing alcohol ,acne or pimples ,difficulty eating ,decreased appetite ",eating disorder
233,"abusing alcohol ,acne or pimples ,weight gain ,difficulty eating ",eating disorder
234,"anxiety and nervousness ,insomnia ,abusing alcohol ,acne or pimples ,weight gain ",eating disorder
235,"depression ,depressive or psychotic symptoms ,insomnia ,acne or pimples ,weight gain ",eating disorder
236,"insomnia ,abusing alcohol ,decreased appetite ",eating disorder
237,"depression ,depressive or psychotic symptoms ,difficulty eating ",eating disorder
238,"anxiety and nervousness ,abusing alcohol ,acne or pimples ,difficulty eating ,decreased appetite ",eating disorder
239,"anxiety and nervousness ,depression ,depressive or psychotic symptoms ,insomnia ,abusing alcohol ,acne or pimples ,difficulty eating ",eating disorder
240,"insomnia ,abusing alcohol ,weight gain ,difficulty eating ,decreased appetite ",eating disorder
241,"depression ,depressive or psychotic symptoms ,insomnia ,acne or pimples ,difficulty eating ,decreased appetite ",eating disorder
242,"anxiety and nervousness ,depression ,depressive or psychotic symptoms ,insomnia ,abusing alcohol ,difficulty eating ",eating disorder
243,"depression ,abusing alcohol ,acne or pimples ,weight gain ,difficulty eating ",eating disorder
244,"depression ,depressive or psychotic symptoms ,insomnia ,acne or pimples ",eating disorder
245,"depressive or psychotic symptoms ,abusing alcohol ,difficulty eating ,decreased appetite ",eating disorder
246,"depression ,depressive or psychotic symptoms ,insomnia ,acne or pimples ,difficulty eating ",eating disorder
247,"insomnia ,abusing alcohol ,acne or pimples ,weight gain ,decreased appetite ",eating disorder
248,"depressive or psychotic symptoms ,abusing alcohol ,acne or pimples ,weight gain ,decreased appetite ",eating disorder
249,"depression ,insomnia ,weight gain ,decreased appetite ",eating disorder
250,"insomnia ,abusing alcohol ,acne or pimples ,difficulty eating ",eating disorder
251,"anxiety and nervousness ,depression ,insomnia ,abusing alcohol ,acne or pimples ,weight gain ",eating disorder
252,"depressive or psychotic symptoms ,insomnia ,weight gain ,difficulty eating ",eating disorder
253,"depression ,depressive or psychotic symptoms ,insomnia ,abusing alcohol ,difficulty eating ",eating disorder
254,"anxiety and nervousness ,insomnia ,acne or pimples ,weight gain ",eating disorder
255,"depression ,depressive or psychotic symptoms ,insomnia ,abusing alcohol ,acne or pimples ,difficulty eating ,decreased appetite ",eating disorder
256,"anxiety and nervousness ,abusing alcohol ,acne or pimples ,weight gain ,decreased appetite ",eating disorder
257,"depressive or psychotic symptoms ,insomnia ,weight gain ",eating disorder
258,"anxiety and nervousness ,insomnia ,abusing alcohol ,difficulty eating ",eating disorder
259,"depression ,depressive or psychotic symptoms ,weight gain ,difficulty eating ",eating disorder
260,"insomnia ,abusing alcohol ,acne or pimples ",eating disorder
261,"depressive or psychotic symptoms ,insomnia ,abusing alcohol ,acne or pimples ,weight gain ,difficulty eating ",eating disorder
262,"anxiety and nervousness ,depression ,depressive or psychotic symptoms ,insomnia ,acne or pimples ,weight gain ,decreased appetite ",eating disorder
263,"anxiety and nervousness ,depressive or psychotic symptoms ,abusing alcohol ,acne or pimples ,difficulty eating ",eating disorder
264,"anxiety and nervousness ,insomnia ,acne or pimples ,weight gain ,difficulty eating ",eating disorder
265,"depressive or psychotic symptoms ,insomnia ,acne or pimples ,decreased appetite ",eating disorder
266,"depression ,depressive or psychotic symptoms ,insomnia ,acne or pimples ",eating disorder
267,"anxiety and nervousness ,depression ,depressive or psychotic symptoms ,abusing alcohol ,acne or pimples ,weight gain ,decreased appetite ",eating disorder
268,"anxiety and nervousness ,insomnia ,abusing alcohol ,weight gain ,decreased appetite ",eating disorder
269,"depression ,depressive or psychotic symptoms ,abusing alcohol ,weight gain ,decreased appetite ",eating disorder
270,"depression ,depressive or psychotic symptoms ,insomnia ,abusing alcohol ,acne or pimples ,difficulty eating ",eating disorder
271,"depression ,depressive or psychotic symptoms ,insomnia ,acne or pimples ,decreased appetite ",eating disorder
272,"insomnia ,acne or pimples ,weight gain ,difficulty eating ,decreased appetite ",eating disorder
