,Symptom,Disease
41,"blood in stool ,sharp abdominal pain ,nausea ,burning abdominal pain ,decreased appetite ",infectious gastroenteritis
42,"blood in stool ,diarrhea ,fluid retention ,flu-like syndrome ",infectious gastroenteritis
43,"sharp abdominal pain ,vomiting ,headache ,nausea ,burning abdominal pain ,chills ,flu-like syndrome ",infectious gastroenteritis
44,"vomiting ,headache ,nausea ,burning abdominal pain ,chills ",infectious gastroenteritis
45,"vomiting ,diarrhea ,chills ,fluid retention ,flu-like syndrome ",infectious gastroenteritis
46,"blood in stool ,sharp abdominal pain ,vomiting ,headache ,nausea ,diarrhea ,decreased appetite ,chills ,flu-like syndrome ",infectious gastroenteritis
47,"blood in stool ,sharp abdominal pain ,nausea ,burning abdominal pain ,decreased appetite ,fever ,flu-like syndrome ",infectious gastroenteritis
48,"blood in stool ,diarrhea ,burning abdominal pain ,decreased appetite ,chills ,fluid retention ,flu-like syndrome ",infectious gastroenteritis
49,"diarrhea ,fever ,chills ,flu-like syndrome ",infectious gastroenteritis
50,"blood in stool ,sharp abdominal pain ,headache ,diarrhea ,chills ,flu-like syndrome ",infectious gastroenteritis
51,"vomiting ,headache ,diarrhea ,decreased appetite ,fluid retention ",infectious gastroenteritis
52,"blood in stool ,sharp abdominal pain ,vomiting ,headache ,nausea ,diarrhea ,burning abdominal pain ,decreased appetite ,chills ",infectious gastroenteritis
53,"vomiting ,headache ,nausea ,decreased appetite ,fever ",infectious gastroenteritis
54,"headache ,nausea ,decreased appetite ",infectious gastroenteritis
55,"sharp abdominal pain ,vomiting ,flu-like syndrome ",infectious gastroenteritis
56,"vomiting ,headache ,burning abdominal pain ,decreased appetite ,fever ,chills ",infectious gastroenteritis
57,"blood in stool ,vomiting ,nausea ,diarrhea ,burning abdominal pain ,fever ,chills ,flu-like syndrome ",infectious gastroenteritis
58,"blood in stool ,vomiting ,burning abdominal pain ,fever ,fluid retention ",infectious gastroenteritis
59,"sharp abdominal pain ,burning abdominal pain ,chills ,fluid retention ",infectious gastroenteritis
60,"sharp abdominal pain ,vomiting ,nausea ,diarrhea ,fluid retention ,flu-like syndrome ",infectious gastroenteritis
61,"blood in stool ,vomiting ,headache ,burning abdominal pain ,decreased appetite ,fever ,chills ,flu-like syndrome ",infectious gastroenteritis
62,"blood in stool ,sharp abdominal pain ,nausea ,diarrhea ,burning abdominal pain ,decreased appetite ,fever ,chills ",infectious gastroenteritis
63,"sharp abdominal pain ,vomiting ,diarrhea ,fluid retention ,flu-like syndrome ",infectious gastroenteritis
64,"vomiting ,headache ,diarrhea ,burning abdominal pain ,decreased appetite ,chills ",infectious gastroenteritis
65,"blood in stool ,sharp abdominal pain ,headache ,diarrhea ,burning abdominal pain ,fever ,flu-like syndrome ",infectious gastroenteritis
66,"blood in stool ,sharp abdominal pain ,headache ,burning abdominal pain ,fever ",infectious gastroenteritis
67,"blood in stool ,diarrhea ,fever ,chills ,fluid retention ,flu-like syndrome ",infectious gastroenteritis
68,"vomiting ,diarrhea ,burning abdominal pain ,fever ,fluid retention ,flu-like syndrome ",infectious gastroenteritis
69,"blood in stool ,sharp abdominal pain ,vomiting ,nausea ,diarrhea ,burning abdominal pain ,decreased appetite ,fever ,chills ,flu-like syndrome ",infectious gastroenteritis
70,"vomiting ,nausea ,burning abdominal pain ,decreased appetite ,fever ,fluid retention ,flu-like syndrome ",infectious gastroenteritis
71,"blood in stool ,sharp abdominal pain ,burning abdominal pain ,fluid retention ",infectious gastroenteritis
72,"blood in stool ,nausea ,diarrhea ,decreased appetite ,fever ",infectious gastroenteritis
73,"sharp abdominal pain ,nausea ,burning abdominal pain ,decreased appetite ,fever ,chills ,fluid retention ,flu-like syndrome ",infectious gastroenteritis
74,"sharp abdominal pain ,vomiting ,headache ,nausea ,diarrhea ,burning abdominal pain ",infectious gastroenteritis
75,"headache ,nausea ,diarrhea ,decreased appetite ,chills ,fluid retention ,flu-like syndrome ",infectious gastroenteritis
76,"blood in stool ,vomiting ,diarrhea ,burning abdominal pain ,decreased appetite ,fever ,chills ,flu-like syndrome ",infectious gastroenteritis
77,"blood in stool ,headache ,burning abdominal pain ,flu-like syndrome ",infectious gastroenteritis
78,"blood in stool ,nausea ,burning abdominal pain ,decreased appetite ,fever ,chills ,fluid retention ",infectious gastroenteritis
79,"sharp abdominal pain ,headache ,diarrhea ,burning abdominal pain ,fever ,flu-like syndrome ",infectious gastroenteritis
80,"blood in stool ,headache ,nausea ,burning abdominal pain ,decreased appetite ,chills ,fluid retention ",infectious gastroenteritis
81,"sharp abdominal pain ,vomiting ,burning abdominal pain ,decreased appetite ,fluid retention ",infectious gastroenteritis
82,"sharp abdominal pain ,vomiting ,nausea ,burning abdominal pain ,decreased appetite ,fluid retention ",infectious gastroenteritis
83,"vomiting ,nausea ,burning abdominal pain ,decreased appetite ,fever ,flu-like syndrome ",infectious gastroenteritis
84,"sharp abdominal pain ,vomiting ,headache ,nausea ,burning abdominal pain ,decreased appetite ,chills ,flu-like syndrome ",infectious gastroenteritis
85,"vomiting ,headache ,nausea ,diarrhea ,burning abdominal pain ,decreased appetite ,fever ,flu-like syndrome ",infectious gastroenteritis
86,"headache ,diarrhea ,burning abdominal pain ,decreased appetite ,fever ,fluid retention ",infectious gastroenteritis
87,"sharp abdominal pain ,nausea ,fever ,flu-like syndrome ",infectious gastroenteritis
88,"blood in stool ,sharp abdominal pain ,headache ,fever ,fluid retention ,flu-like syndrome ",infectious gastroenteritis
89,"sharp abdominal pain ,vomiting ,burning abdominal pain ,fever ,flu-like syndrome ",infectious gastroenteritis
90,"diarrhea ,burning abdominal pain ,fever ,chills ,flu-like syndrome ",infectious gastroenteritis
91,"vomiting ,diarrhea ,burning abdominal pain ,decreased appetite ,fever ,chills ,flu-like syndrome ",infectious gastroenteritis
92,"blood in stool ,headache ,nausea ,chills ",infectious gastroenteritis
93,"nausea ,diarrhea ,decreased appetite ,fever ,fluid retention ",infectious gastroenteritis
94,"sharp abdominal pain ,vomiting ,burning abdominal pain ,decreased appetite ",infectious gastroenteritis
95,"headache ,diarrhea ,burning abdominal pain ,decreased appetite ,fever ,chills ,flu-like syndrome ",infectious gastroenteritis
96,"blood in stool ,nausea ,burning abdominal pain ,fever ,fluid retention ",infectious gastroenteritis
97,"blood in stool ,vomiting ,nausea ,diarrhea ,burning abdominal pain ,decreased appetite ,fluid retention ,flu-like syndrome ",infectious gastroenteritis
98,"nausea ,fever ,chills ",infectious gastroenteritis
99,"vomiting ,nausea ,diarrhea ,fluid retention ",infectious gastroenteritis
100,"sharp abdominal pain ,vomiting ,headache ,nausea ",infectious gastroenteritis
101,"blood in stool ,sharp abdominal pain ,headache ,nausea ,chills ,flu-like syndrome ",infectious gastroenteritis
102,"blood in stool ,vomiting ,headache ,diarrhea ,decreased appetite ,fever ",infectious gastroenteritis
103,"sharp abdominal pain ,burning abdominal pain ,decreased appetite ",infectious gastroenteritis
104,"blood in stool ,sharp abdominal pain ,vomiting ,headache ,nausea ,decreased appetite ,fluid retention ,flu-like syndrome ",infectious gastroenteritis
105,"diarrhea ,flu-like syndrome ",infectious gastroenteritis
106,"blood in stool ,sharp abdominal pain ,headache ,diarrhea ,burning abdominal pain ,fluid retention ",infectious gastroenteritis
107,"vomiting ,diarrhea ,decreased appetite ,fever ,flu-like syndrome ",infectious gastroenteritis
108,"blood in stool ,headache ,nausea ,diarrhea ,burning abdominal pain ,decreased appetite ,fever ,flu-like syndrome ",infectious gastroenteritis
109,"nausea ,diarrhea ,fever ,chills ,fluid retention ,flu-like syndrome ",infectious gastroenteritis
110,"blood in stool ,sharp abdominal pain ,vomiting ,headache ,decreased appetite ,fever ",infectious gastroenteritis
111,"blood in stool ,sharp abdominal pain ,vomiting ,diarrhea ,decreased appetite ,flu-like syndrome ",infectious gastroenteritis
112,"blood in stool ,vomiting ,headache ,burning abdominal pain ,fever ,chills ",infectious gastroenteritis
113,"sharp abdominal pain ,vomiting ,burning abdominal pain ",infectious gastroenteritis
114,"sharp abdominal pain ,vomiting ,headache ,nausea ,diarrhea ,chills ,fluid retention ,flu-like syndrome ",infectious gastroenteritis
115,"blood in stool ,diarrhea ,burning abdominal pain ,decreased appetite ,chills ,flu-like syndrome ",infectious gastroenteritis
116,"blood in stool ,vomiting ,headache ,nausea ,diarrhea ,fever ,fluid retention ,flu-like syndrome ",infectious gastroenteritis
117,"blood in stool ,sharp abdominal pain ,vomiting ,diarrhea ,decreased appetite ,chills ,fluid retention ,flu-like syndrome ",infectious gastroenteritis
118,"blood in stool ,vomiting ,nausea ,decreased appetite ,fever ,chills ",infectious gastroenteritis
119,"blood in stool ,sharp abdominal pain ,vomiting ,headache ,diarrhea ,fluid retention ,flu-like syndrome ",infectious gastroenteritis
120,"sharp abdominal pain ,nausea ,burning abdominal pain ,decreased appetite ,fever ,chills ,fluid retention ",infectious gastroenteritis
121,"blood in stool ,sharp abdominal pain ,headache ,diarrhea ,fluid retention ,flu-like syndrome ",infectious gastroenteritis
122,"blood in stool ,sharp abdominal pain ,chills ",infectious gastroenteritis
123,"blood in stool ,burning abdominal pain ,decreased appetite ,fluid retention ",infectious gastroenteritis
124,"nausea ,diarrhea ,burning abdominal pain ,fever ,chills ,fluid retention ,flu-like syndrome ",infectious gastroenteritis
125,"blood in stool ,sharp abdominal pain ,vomiting ,headache ,nausea ,diarrhea ,fever ,fluid retention ,flu-like syndrome ",infectious gastroenteritis
126,"blood in stool ,sharp abdominal pain ,vomiting ,headache ,nausea ,decreased appetite ,chills ,flu-like syndrome ",infectious gastroenteritis
127,"headache ,burning abdominal pain ,fever ,chills ,fluid retention ",infectious gastroenteritis
128,"sharp abdominal pain ,vomiting ,nausea ,burning abdominal pain ,fever ,fluid retention ,flu-like syndrome ",infectious gastroenteritis
129,"blood in stool ,nausea ,decreased appetite ,fever ,chills ,fluid retention ",infectious gastroenteritis
130,"blood in stool ,sharp abdominal pain ,nausea ,diarrhea ,burning abdominal pain ,decreased appetite ,chills ",infectious gastroenteritis
131,"blood in stool ,vomiting ,nausea ,diarrhea ,burning abdominal pain ,chills ,flu-like syndrome ",infectious gastroenteritis
132,"sharp abdominal pain ,vomiting ,headache ,diarrhea ,burning abdominal pain ,decreased appetite ,fever ,chills ",infectious gastroenteritis
133,"headache ,diarrhea ,burning abdominal pain ,fever ,fluid retention ,flu-like syndrome ",infectious gastroenteritis
134,"sharp abdominal pain ,nausea ,diarrhea ,chills ,fluid retention ,flu-like syndrome ",infectious gastroenteritis
135,"vomiting ,nausea ,diarrhea ,decreased appetite ,chills ,fluid retention ",infectious gastroenteritis
136,"blood in stool ,diarrhea ,decreased appetite ,fever ,fluid retention ",infectious gastroenteritis
137,"vomiting ,nausea ,diarrhea ,chills ,flu-like syndrome ",infectious gastroenteritis
138,"blood in stool ,sharp abdominal pain ,vomiting ,nausea ,decreased appetite ,chills ,fluid retention ,flu-like syndrome ",infectious gastroenteritis
139,"blood in stool ,sharp abdominal pain ,headache ,diarrhea ,chills ",infectious gastroenteritis
140,"blood in stool ,headache ,nausea ,chills ,fluid retention ",infectious gastroenteritis
141,"blood in stool ,sharp abdominal pain ,diarrhea ,fluid retention ,flu-like syndrome ",infectious gastroenteritis
142,"sharp abdominal pain ,headache ,nausea ,diarrhea ,fluid retention ",infectious gastroenteritis
143,"blood in stool ,sharp abdominal pain ,decreased appetite ,fluid retention ",infectious gastroenteritis
144,"vomiting ,headache ,fever ",infectious gastroenteritis
145,"blood in stool ,sharp abdominal pain ,headache ,nausea ,diarrhea ,burning abdominal pain ,fluid retention ",infectious gastroenteritis
146,"diarrhea ,burning abdominal pain ,chills ,fluid retention ,flu-like syndrome ",infectious gastroenteritis
147,"blood in stool ,sharp abdominal pain ,vomiting ,diarrhea ,decreased appetite ,fever ,fluid retention ,flu-like syndrome ",infectious gastroenteritis
148,"sharp abdominal pain ,decreased appetite ",infectious gastroenteritis
149,"blood in stool ,sharp abdominal pain ,nausea ,diarrhea ,fever ,flu-like syndrome ",infectious gastroenteritis
150,"headache ,nausea ,decreased appetite ,chills ,fluid retention ,flu-like syndrome ",infectious gastroenteritis
151,"sharp abdominal pain ,headache ,diarrhea ,chills ,fluid retention ",infectious gastroenteritis
152,"blood in stool ,sharp abdominal pain ,headache ,burning abdominal pain ,chills ,fluid retention ,flu-like syndrome ",infectious gastroenteritis
153,"sharp abdominal pain ,vomiting ,nausea ,diarrhea ,fever ",infectious gastroenteritis
154,"sharp abdominal pain ,vomiting ,diarrhea ,fever ,chills ",infectious gastroenteritis
155,"blood in stool ,sharp abdominal pain ,vomiting ,diarrhea ,fever ,chills ,fluid retention ",infectious gastroenteritis
156,"sharp abdominal pain ,vomiting ,fever ",infectious gastroenteritis
157,"blood in stool ,headache ,diarrhea ,burning abdominal pain ,decreased appetite ,chills ",infectious gastroenteritis
158,"blood in stool ,sharp abdominal pain ,nausea ,burning abdominal pain ,decreased appetite ,fluid retention ,flu-like syndrome ",infectious gastroenteritis
159,"blood in stool ,sharp abdominal pain ,vomiting ,headache ,diarrhea ,burning abdominal pain ,decreased appetite ,fluid retention ",infectious gastroenteritis
160,"blood in stool ,sharp abdominal pain ,headache ,diarrhea ,fever ,fluid retention ,flu-like syndrome ",infectious gastroenteritis
161,"blood in stool ,vomiting ,headache ,diarrhea ,burning abdominal pain ,decreased appetite ,chills ,fluid retention ",infectious gastroenteritis
162,"blood in stool ,sharp abdominal pain ,vomiting ,headache ,nausea ,diarrhea ,decreased appetite ,fever ,chills ,fluid retention ",infectious gastroenteritis
163,"blood in stool ,sharp abdominal pain ,vomiting ,headache ,nausea ,burning abdominal pain ,chills ,fluid retention ",infectious gastroenteritis
164,"sharp abdominal pain ,headache ,diarrhea ,burning abdominal pain ,fever ",infectious gastroenteritis
165,"headache ,diarrhea ,decreased appetite ,fever ,chills ,flu-like syndrome ",infectious gastroenteritis
166,"diarrhea ,decreased appetite ,fever ,chills ,flu-like syndrome ",infectious gastroenteritis
167,"blood in stool ,sharp abdominal pain ,nausea ,fever ,fluid retention ",infectious gastroenteritis
168,"blood in stool ,nausea ,burning abdominal pain ",infectious gastroenteritis
169,"blood in stool ,sharp abdominal pain ,vomiting ,fever ,flu-like syndrome ",infectious gastroenteritis
170,"blood in stool ,sharp abdominal pain ,vomiting ,headache ,burning abdominal pain ,decreased appetite ,fluid retention ",infectious gastroenteritis
171,"sharp abdominal pain ,vomiting ,nausea ,diarrhea ,burning abdominal pain ,fever ,chills ,fluid retention ,flu-like syndrome ",infectious gastroenteritis
172,"blood in stool ,sharp abdominal pain ,vomiting ,headache ,nausea ,diarrhea ,burning abdominal pain ,decreased appetite ,fluid retention ",infectious gastroenteritis
173,"sharp abdominal pain ,vomiting ,diarrhea ,burning abdominal pain ,decreased appetite ,fluid retention ",infectious gastroenteritis
174,"sharp abdominal pain ,vomiting ,fever ,chills ,fluid retention ",infectious gastroenteritis
175,"sharp abdominal pain ,vomiting ,headache ,diarrhea ,burning abdominal pain ,decreased appetite ,fever ,chills ,fluid retention ,flu-like syndrome ",infectious gastroenteritis
176,"headache ,nausea ,diarrhea ,fever ,fluid retention ",infectious gastroenteritis
177,"blood in stool ,sharp abdominal pain ,vomiting ,nausea ,diarrhea ",infectious gastroenteritis
178,"blood in stool ,sharp abdominal pain ,vomiting ,burning abdominal pain ,decreased appetite ,fever ,fluid retention ",infectious gastroenteritis
179,"blood in stool ,vomiting ,fluid retention ,flu-like syndrome ",infectious gastroenteritis
180,"blood in stool ,diarrhea ,burning abdominal pain ,fluid retention ",infectious gastroenteritis
181,"blood in stool ,sharp abdominal pain ,headache ,nausea ,burning abdominal pain ,fever ,chills ",infectious gastroenteritis
182,"burning abdominal pain ,fever ,chills ",infectious gastroenteritis
183,"blood in stool ,sharp abdominal pain ,headache ,fluid retention ,flu-like syndrome ",infectious gastroenteritis
184,"sharp abdominal pain ,nausea ,diarrhea ,burning abdominal pain ,decreased appetite ,fever ,fluid retention ",infectious gastroenteritis
185,"blood in stool ,vomiting ,headache ,diarrhea ,burning abdominal pain ,flu-like syndrome ",infectious gastroenteritis
186,"blood in stool ,nausea ,diarrhea ,burning abdominal pain ,decreased appetite ,chills ,fluid retention ",infectious gastroenteritis
187,"sharp abdominal pain ,vomiting ,nausea ,diarrhea ,decreased appetite ,fever ,chills ,flu-like syndrome ",infectious gastroenteritis
188,"sharp abdominal pain ,vomiting ,headache ,nausea ,decreased appetite ,fever ,chills ,fluid retention ",infectious gastroenteritis
189,"blood in stool ,headache ,fever ,flu-like syndrome ",infectious gastroenteritis
190,"sharp abdominal pain ,nausea ,burning abdominal pain ,fever ,flu-like syndrome ",infectious gastroenteritis
191,"blood in stool ,vomiting ,headache ,nausea ,diarrhea ,burning abdominal pain ,decreased appetite ,fever ,fluid retention ,flu-like syndrome ",infectious gastroenteritis
192,"vomiting ,nausea ,diarrhea ,burning abdominal pain ,decreased appetite ,chills ,fluid retention ",infectious gastroenteritis
193,"blood in stool ,burning abdominal pain ,fever ,fluid retention ",infectious gastroenteritis
194,"headache ,fever ,chills ,flu-like syndrome ",infectious gastroenteritis
195,"vomiting ,headache ,decreased appetite ,fever ,chills ,flu-like syndrome ",infectious gastroenteritis
196,"vomiting ,headache ,diarrhea ,chills ",infectious gastroenteritis
197,"sharp abdominal pain ,vomiting ,decreased appetite ,chills ",infectious gastroenteritis
198,"nausea ,diarrhea ,fluid retention ,flu-like syndrome ",infectious gastroenteritis
199,"blood in stool ,headache ,diarrhea ,burning abdominal pain ,fluid retention ,flu-like syndrome ",infectious gastroenteritis
200,"sharp abdominal pain ,headache ,decreased appetite ,fever ,fluid retention ,flu-like syndrome ",infectious gastroenteritis
201,"sharp abdominal pain ,vomiting ,headache ,diarrhea ,burning abdominal pain ,fluid retention ",infectious gastroenteritis
202,"sharp abdominal pain ,diarrhea ,burning abdominal pain ,decreased appetite ,fever ,chills ,fluid retention ,flu-like syndrome ",infectious gastroenteritis
203,"blood in stool ,vomiting ,headache ,burning abdominal pain ,chills ",infectious gastroenteritis
204,"blood in stool ,sharp abdominal pain ,headache ,nausea ,diarrhea ,decreased appetite ,fever ,fluid retention ",infectious gastroenteritis
205,"blood in stool ,vomiting ,diarrhea ,decreased appetite ,chills ,flu-like syndrome ",infectious gastroenteritis
206,"blood in stool ,sharp abdominal pain ,headache ,burning abdominal pain ,decreased appetite ,fever ,flu-like syndrome ",infectious gastroenteritis
207,"blood in stool ,sharp abdominal pain ,vomiting ,headache ,diarrhea ,burning abdominal pain ,fever ,fluid retention ,flu-like syndrome ",infectious gastroenteritis
208,"vomiting ,headache ,nausea ,burning abdominal pain ,fever ,fluid retention ,flu-like syndrome ",infectious gastroenteritis
209,"blood in stool ,sharp abdominal pain ,headache ,nausea ,diarrhea ,burning abdominal pain ,decreased appetite ,fever ,chills ,fluid retention ",infectious gastroenteritis
210,"blood in stool ,nausea ,decreased appetite ,fever ,chills ",infectious gastroenteritis
211,"vomiting ,headache ,nausea ,diarrhea ,fever ,chills ",infectious gastroenteritis
212,"vomiting ,headache ,decreased appetite ,chills ,fluid retention ,flu-like syndrome ",infectious gastroenteritis
213,"blood in stool ,diarrhea ,decreased appetite ,chills ,fluid retention ,flu-like syndrome ",infectious gastroenteritis
214,"vomiting ,burning abdominal pain ,decreased appetite ,chills ,fluid retention ",infectious gastroenteritis
215,"vomiting ,nausea ,burning abdominal pain ,fever ,chills ,fluid retention ",infectious gastroenteritis
216,"vomiting ,headache ,nausea ,diarrhea ,fever ,chills ,fluid retention ",infectious gastroenteritis
217,"blood in stool ,sharp abdominal pain ,headache ,burning abdominal pain ,decreased appetite ,chills ",infectious gastroenteritis
218,"sharp abdominal pain ,headache ,diarrhea ,decreased appetite ,chills ",infectious gastroenteritis
219,"blood in stool ,sharp abdominal pain ,vomiting ,headache ,decreased appetite ,chills ",infectious gastroenteritis
220,"sharp abdominal pain ,diarrhea ,burning abdominal pain ,fluid retention ,flu-like syndrome ",infectious gastroenteritis
221,"sharp abdominal pain ,vomiting ,diarrhea ,burning abdominal pain ,decreased appetite ",infectious gastroenteritis
222,"blood in stool ,sharp abdominal pain ,vomiting ,headache ,diarrhea ,decreased appetite ,chills ,fluid retention ",infectious gastroenteritis
223,"blood in stool ,vomiting ,headache ,nausea ,flu-like syndrome ",infectious gastroenteritis
224,"sharp abdominal pain ,vomiting ,headache ,nausea ,diarrhea ,flu-like syndrome ",infectious gastroenteritis
225,"sharp abdominal pain ,headache ,nausea ,diarrhea ,burning abdominal pain ,fever ,chills ,fluid retention ",infectious gastroenteritis
226,"sharp abdominal pain ,vomiting ,nausea ,burning abdominal pain ,chills ,fluid retention ",infectious gastroenteritis
227,"sharp abdominal pain ,headache ,diarrhea ,burning abdominal pain ,decreased appetite ,fever ,chills ",infectious gastroenteritis
228,"sharp abdominal pain ,headache ,nausea ,burning abdominal pain ,fluid retention ",infectious gastroenteritis
229,"vomiting ,headache ,nausea ,burning abdominal pain ,decreased appetite ,fluid retention ,flu-like syndrome ",infectious gastroenteritis
230,"vomiting ,nausea ,fever ,fluid retention ,flu-like syndrome ",infectious gastroenteritis
231,"headache ,nausea ,burning abdominal pain ,decreased appetite ,fever ",infectious gastroenteritis
232,"sharp abdominal pain ,vomiting ,nausea ,burning abdominal pain ,chills ,flu-like syndrome ",infectious gastroenteritis
233,"sharp abdominal pain ,vomiting ,headache ,diarrhea ,burning abdominal pain ,decreased appetite ,chills ",infectious gastroenteritis
234,"sharp abdominal pain ,nausea ,diarrhea ,burning abdominal pain ,fever ,chills ,fluid retention ,flu-like syndrome ",infectious gastroenteritis
235,"blood in stool ,vomiting ,nausea ,fever ,chills ,flu-like syndrome ",infectious gastroenteritis
236,"sharp abdominal pain ,vomiting ,headache ,nausea ,diarrhea ,decreased appetite ,chills ",infectious gastroenteritis
237,"blood in stool ,headache ,diarrhea ,decreased appetite ,chills ,fluid retention ,flu-like syndrome ",infectious gastroenteritis
238,"blood in stool ,sharp abdominal pain ,vomiting ,nausea ,diarrhea ,decreased appetite ,fever ,chills ,fluid retention ,flu-like syndrome ",infectious gastroenteritis
239,"sharp abdominal pain ,vomiting ,headache ,nausea ,diarrhea ,chills ",infectious gastroenteritis
240,"sharp abdominal pain ,diarrhea ,fluid retention ,flu-like syndrome ",infectious gastroenteritis
241,"blood in stool ,headache ,diarrhea ,burning abdominal pain ,fever ,chills ,fluid retention ,flu-like syndrome ",infectious gastroenteritis
242,"blood in stool ,sharp abdominal pain ,nausea ,diarrhea ,burning abdominal pain ,fluid retention ",infectious gastroenteritis
243,"sharp abdominal pain ,vomiting ,headache ,nausea ,diarrhea ,burning abdominal pain ,decreased appetite ,chills ,flu-like syndrome ",infectious gastroenteritis
244,"sharp abdominal pain ,vomiting ,headache ,nausea ,diarrhea ,decreased appetite ,chills ,fluid retention ",infectious gastroenteritis
245,"sharp abdominal pain ,vomiting ,fever ,fluid retention ,flu-like syndrome ",infectious gastroenteritis
246,"sharp abdominal pain ,vomiting ,headache ,chills ",infectious gastroenteritis
247,"headache ,nausea ,burning abdominal pain ,decreased appetite ,fever ,chills ",infectious gastroenteritis
248,"blood in stool ,sharp abdominal pain ,vomiting ,headache ,nausea ,decreased appetite ,fever ,fluid retention ",infectious gastroenteritis
249,"headache ,nausea ,diarrhea ,burning abdominal pain ,decreased appetite ,fever ,chills ",infectious gastroenteritis
