,Symptom,Disease
56,"arm pain ,back pain ,knee pain ,ache all over ,lower body pain ",spondylosis
57,"hip pain ,arm pain ,back pain ,neck pain ,lower body pain ",spondylosis
58,"leg pain ,arm pain ,knee pain ,shoulder pain ,ache all over ",spondylosis
59,"hip pain ,arm pain ,back pain ,neck pain ,low back pain ,loss of sensation ,paresthesia ,lower body pain ",spondylosis
60,"low back pain ,knee pain ,loss of sensation ,paresthesia ,shoulder pain ,ache all over ,lower body pain ",spondylosis
61,"leg pain ,hip pain ,neck pain ,low back pain ,paresthesia ,lower body pain ",spondylosis
62,"leg pain ,hip pain ,neck pain ,low back pain ,knee pain ,loss of sensation ,paresthesia ,shoulder pain ,ache all over ",spondylosis
63,"arm pain ,neck pain ,low back pain ,knee pain ,shoulder pain ,ache all over ,lower body pain ",spondylosis
64,"leg pain ,hip pain ,neck pain ,low back pain ,knee pain ,ache all over ,lower body pain ",spondylosis
65,"leg pain ,hip pain ,back pain ,low back pain ,knee pain ,paresthesia ,lower body pain ",spondylosis
66,"leg pain ,hip pain ,back pain ,knee pain ,paresthesia ,shoulder pain ",spondylosis
67,"leg pain ,back pain ,low back pain ,loss of sensation ,paresthesia ,ache all over ,lower body pain ",spondylosis
68,"arm pain ,low back pain ,knee pain ,paresthesia ,shoulder pain ,ache all over ,lower body pain ",spondylosis
69,"leg pain ,hip pain ,arm pain ,neck pain ,low back pain ,knee pain ,loss of sensation ,paresthesia ,shoulder pain ,lower body pain ",spondylosis
70,"hip pain ,back pain ,neck pain ,low back pain ,knee pain ,paresthesia ,shoulder pain ,lower body pain ",spondylosis
71,"leg pain ,hip pain ,neck pain ,low back pain ,shoulder pain ,ache all over ",spondylosis
72,"leg pain ,neck pain ,low back pain ,loss of sensation ,paresthesia ",spondylosis
73,"hip pain ,neck pain ,low back pain ,ache all over ",spondylosis
74,"leg pain ,neck pain ,low back pain ,knee pain ,loss of sensation ,paresthesia ,shoulder pain ",spondylosis
75,"back pain ,neck pain ,low back pain ,loss of sensation ,ache all over ",spondylosis
76,"hip pain ,back pain ,neck pain ,knee pain ,paresthesia ,shoulder pain ,ache all over ",spondylosis
77,"hip pain ,back pain ,neck pain ,loss of sensation ",spondylosis
78,"hip pain ,low back pain ,knee pain ,loss of sensation ,shoulder pain ,ache all over ",spondylosis
79,"leg pain ,arm pain ,neck pain ,knee pain ,paresthesia ",spondylosis
80,"leg pain ,neck pain ,knee pain ,ache all over ",spondylosis
81,"leg pain ,arm pain ,loss of sensation ,paresthesia ,shoulder pain ,ache all over ",spondylosis
82,"hip pain ,arm pain ,neck pain ,low back pain ,loss of sensation ,shoulder pain ,ache all over ",spondylosis
83,"arm pain ,neck pain ,low back pain ,knee pain ,loss of sensation ,ache all over ,lower body pain ",spondylosis
84,"low back pain ,shoulder pain ",spondylosis
85,"arm pain ,low back pain ,paresthesia ,lower body pain ",spondylosis
86,"back pain ,low back pain ,knee pain ,loss of sensation ,paresthesia ,lower body pain ",spondylosis
87,"leg pain ,arm pain ,back pain ,neck pain ,loss of sensation ,ache all over ,lower body pain ",spondylosis
88,"hip pain ,arm pain ,low back pain ,knee pain ,loss of sensation ,ache all over ",spondylosis
89,"leg pain ,arm pain ,neck pain ,loss of sensation ,paresthesia ,shoulder pain ,ache all over ",spondylosis
90,"leg pain ,low back pain ,loss of sensation ,paresthesia ,shoulder pain ,lower body pain ",spondylosis
91,"arm pain ,low back pain ,knee pain ,loss of sensation ,paresthesia ,shoulder pain ",spondylosis
92,"leg pain ,back pain ,neck pain ,ache all over ",spondylosis
93,"hip pain ,back pain ,neck pain ,low back pain ,knee pain ,paresthesia ,lower body pain ",spondylosis
94,"arm pain ,back pain ,neck pain ,low back pain ,shoulder pain ,ache all over ,lower body pain ",spondylosis
95,"hip pain ,back pain ,knee pain ,loss of sensation ,lower body pain ",spondylosis
96,"arm pain ,back pain ,knee pain ,lower body pain ",spondylosis
97,"leg pain ,arm pain ,neck pain ,low back pain ,knee pain ,paresthesia ,shoulder pain ,ache all over ",spondylosis
98,"hip pain ,arm pain ,back pain ,knee pain ,loss of sensation ,paresthesia ",spondylosis
99,"leg pain ,arm pain ,neck pain ,low back pain ,shoulder pain ,ache all over ,lower body pain ",spondylosis
100,"hip pain ,low back pain ,knee pain ,shoulder pain ,ache all over ,lower body pain ",spondylosis
101,"leg pain ,hip pain ,back pain ,neck pain ,shoulder pain ,lower body pain ",spondylosis
102,"leg pain ,low back pain ,loss of sensation ,ache all over ",spondylosis
103,"leg pain ,hip pain ,back pain ,low back pain ,shoulder pain ",spondylosis
104,"leg pain ,hip pain ,arm pain ,back pain ,neck pain ,loss of sensation ,ache all over ,lower body pain ",spondylosis
105,"hip pain ,arm pain ,neck pain ,low back pain ,knee pain ,lower body pain ",spondylosis
106,"leg pain ,hip pain ,back pain ,low back pain ,knee pain ,ache all over ",spondylosis
107,"hip pain ,arm pain ,neck pain ,low back pain ,loss of sensation ,paresthesia ,shoulder pain ,lower body pain ",spondylosis
108,"leg pain ,back pain ,neck pain ,low back pain ,knee pain ,loss of sensation ,shoulder pain ,ache all over ,lower body pain ",spondylosis
109,"hip pain ,back pain ,loss of sensation ,ache all over ",spondylosis
110,"leg pain ,hip pain ,arm pain ,back pain ,loss of sensation ,paresthesia ",spondylosis
111,"leg pain ,hip pain ,arm pain ,low back pain ,loss of sensation ,lower body pain ",spondylosis
112,"leg pain ,arm pain ,knee pain ,loss of sensation ,paresthesia ,shoulder pain ,lower body pain ",spondylosis
113,"hip pain ,arm pain ",spondylosis
114,"hip pain ,arm pain ,back pain ,neck pain ,low back pain ,loss of sensation ,ache all over ",spondylosis
115,"leg pain ,back pain ,loss of sensation ,shoulder pain ",spondylosis
116,"hip pain ,back pain ,low back pain ,ache all over ,lower body pain ",spondylosis
117,"leg pain ,hip pain ,arm pain ,low back pain ,loss of sensation ,shoulder pain ,ache all over ,lower body pain ",spondylosis
118,"leg pain ,back pain ,neck pain ,knee pain ,loss of sensation ,paresthesia ",spondylosis
119,"leg pain ,hip pain ,arm pain ,back pain ,low back pain ,ache all over ,lower body pain ",spondylosis
120,"hip pain ,arm pain ,neck pain ,low back pain ,knee pain ,loss of sensation ,paresthesia ,ache all over ",spondylosis
121,"arm pain ,neck pain ,low back pain ,loss of sensation ,ache all over ",spondylosis
122,"arm pain ,back pain ,neck pain ,low back pain ,lower body pain ",spondylosis
123,"hip pain ,loss of sensation ,shoulder pain ,lower body pain ",spondylosis
124,"leg pain ,hip pain ,back pain ,low back pain ,ache all over ,lower body pain ",spondylosis
125,"leg pain ,hip pain ,arm pain ,back pain ,neck pain ,low back pain ,paresthesia ,ache all over ,lower body pain ",spondylosis
126,"leg pain ,hip pain ,arm pain ,back pain ,neck pain ,loss of sensation ,shoulder pain ,lower body pain ",spondylosis
127,"arm pain ,back pain ,shoulder pain ,lower body pain ",spondylosis
128,"hip pain ,knee pain ,loss of sensation ,paresthesia ,lower body pain ",spondylosis
129,"leg pain ,hip pain ,low back pain ,ache all over ,lower body pain ",spondylosis
130,"hip pain ,loss of sensation ",spondylosis
131,"leg pain ,arm pain ,paresthesia ,shoulder pain ,ache all over ",spondylosis
132,"hip pain ,arm pain ,back pain ,neck pain ,paresthesia ,ache all over ,lower body pain ",spondylosis
133,"back pain ,loss of sensation ,shoulder pain ",spondylosis
134,"hip pain ,paresthesia ,shoulder pain ,lower body pain ",spondylosis
135,"arm pain ,paresthesia ,shoulder pain ",spondylosis
136,"arm pain ,back pain ,neck pain ,paresthesia ,shoulder pain ",spondylosis
137,"hip pain ,arm pain ,back pain ,neck pain ,loss of sensation ,paresthesia ,shoulder pain ,ache all over ",spondylosis
138,"leg pain ,hip pain ,arm pain ,neck pain ,loss of sensation ,shoulder pain ,ache all over ,lower body pain ",spondylosis
139,"leg pain ,hip pain ,knee pain ,lower body pain ",spondylosis
140,"hip pain ,arm pain ,neck pain ,loss of sensation ,paresthesia ",spondylosis
141,"leg pain ,back pain ,neck pain ,low back pain ,loss of sensation ,shoulder pain ,ache all over ,lower body pain ",spondylosis
142,"arm pain ,back pain ,neck pain ,low back pain ,knee pain ,shoulder pain ,lower body pain ",spondylosis
143,"hip pain ,neck pain ,knee pain ,paresthesia ,ache all over ",spondylosis
144,"back pain ,neck pain ,knee pain ,paresthesia ,shoulder pain ",spondylosis
145,"leg pain ,hip pain ,back pain ,neck pain ,low back pain ,knee pain ,ache all over ",spondylosis
146,"leg pain ,arm pain ,neck pain ,low back pain ,knee pain ",spondylosis
147,"leg pain ,hip pain ,arm pain ,low back pain ,loss of sensation ,paresthesia ,ache all over ,lower body pain ",spondylosis
148,"arm pain ,knee pain ,loss of sensation ,paresthesia ",spondylosis
149,"leg pain ,hip pain ,neck pain ,low back pain ,shoulder pain ,ache all over ,lower body pain ",spondylosis
150,"arm pain ,knee pain ,loss of sensation ,paresthesia ,shoulder pain ",spondylosis
151,"leg pain ,back pain ,loss of sensation ,paresthesia ,ache all over ",spondylosis
152,"hip pain ,low back pain ,loss of sensation ,paresthesia ",spondylosis
153,"hip pain ,back pain ,neck pain ,low back pain ,paresthesia ,shoulder pain ,ache all over ,lower body pain ",spondylosis
154,"hip pain ,neck pain ,low back pain ,loss of sensation ,paresthesia ,shoulder pain ",spondylosis
155,"leg pain ,hip pain ,arm pain ,low back pain ,paresthesia ,shoulder pain ,ache all over ",spondylosis
156,"leg pain ,neck pain ,paresthesia ,shoulder pain ",spondylosis
157,"leg pain ,back pain ,low back pain ,knee pain ,loss of sensation ,ache all over ",spondylosis
158,"back pain ,neck pain ,paresthesia ,lower body pain ",spondylosis
159,"leg pain ,hip pain ,arm pain ,back pain ,low back pain ,knee pain ,loss of sensation ,ache all over ",spondylosis
160,"arm pain ,back pain ,loss of sensation ,paresthesia ",spondylosis
161,"arm pain ,back pain ,low back pain ,paresthesia ,shoulder pain ,lower body pain ",spondylosis
162,"leg pain ,hip pain ,arm pain ,back pain ,neck pain ,low back pain ,loss of sensation ,paresthesia ,shoulder pain ,ache all over ",spondylosis
163,"leg pain ,hip pain ,arm pain ,back pain ,neck pain ,knee pain ,shoulder pain ,ache all over ",spondylosis
164,"arm pain ,neck pain ,low back pain ,knee pain ,loss of sensation ,shoulder pain ,lower body pain ",spondylosis
165,"back pain ,low back pain ,loss of sensation ,paresthesia ,ache all over ,lower body pain ",spondylosis
166,"hip pain ,arm pain ,back pain ,neck pain ,low back pain ,loss of sensation ",spondylosis
167,"leg pain ,hip pain ,neck pain ,low back pain ,knee pain ,loss of sensation ,paresthesia ,shoulder pain ",spondylosis
168,"leg pain ,arm pain ,back pain ,low back pain ,ache all over ,lower body pain ",spondylosis
169,"leg pain ,hip pain ,arm pain ,paresthesia ,lower body pain ",spondylosis
170,"leg pain ,hip pain ,arm pain ,back pain ,knee pain ,loss of sensation ,ache all over ",spondylosis
171,"hip pain ,low back pain ,knee pain ",spondylosis
172,"leg pain ,hip pain ,arm pain ,back pain ,neck pain ,low back pain ,knee pain ,loss of sensation ,ache all over ",spondylosis
173,"leg pain ,back pain ,neck pain ,low back pain ,knee pain ,loss of sensation ,paresthesia ",spondylosis
174,"hip pain ,knee pain ,paresthesia ,shoulder pain ,ache all over ",spondylosis
175,"hip pain ,arm pain ,back pain ,neck pain ,shoulder pain ",spondylosis
176,"leg pain ,back pain ,neck pain ,low back pain ,loss of sensation ,paresthesia ,ache all over ,lower body pain ",spondylosis
177,"leg pain ,hip pain ,arm pain ,neck pain ,low back pain ",spondylosis
178,"leg pain ,hip pain ,arm pain ,knee pain ,loss of sensation ,paresthesia ,ache all over ",spondylosis
179,"arm pain ,knee pain ,paresthesia ,shoulder pain ",spondylosis
180,"hip pain ,arm pain ,low back pain ,knee pain ,loss of sensation ,ache all over ,lower body pain ",spondylosis
181,"leg pain ,hip pain ,back pain ,neck pain ,knee pain ,paresthesia ,shoulder pain ",spondylosis
182,"leg pain ,hip pain ,loss of sensation ,ache all over ",spondylosis
183,"hip pain ,back pain ,loss of sensation ,shoulder pain ,lower body pain ",spondylosis
184,"leg pain ,arm pain ,neck pain ,low back pain ,knee pain ,loss of sensation ,ache all over ,lower body pain ",spondylosis
185,"arm pain ,neck pain ,knee pain ,loss of sensation ,paresthesia ,shoulder pain ,ache all over ,lower body pain ",spondylosis
186,"neck pain ,knee pain ,loss of sensation ,paresthesia ,shoulder pain ,lower body pain ",spondylosis
187,"arm pain ,back pain ,low back pain ,knee pain ,loss of sensation ,ache all over ,lower body pain ",spondylosis
188,"hip pain ,arm pain ,back pain ,neck pain ,knee pain ,paresthesia ,ache all over ",spondylosis
189,"arm pain ,neck pain ,knee pain ,shoulder pain ",spondylosis
190,"hip pain ,neck pain ,knee pain ,loss of sensation ,lower body pain ",spondylosis
191,"hip pain ,back pain ,neck pain ,knee pain ,loss of sensation ,shoulder pain ,ache all over ,lower body pain ",spondylosis
192,"hip pain ,neck pain ,low back pain ,paresthesia ,shoulder pain ,lower body pain ",spondylosis
193,"arm pain ,loss of sensation ,ache all over ",spondylosis
194,"back pain ,paresthesia ,shoulder pain ,ache all over ,lower body pain ",spondylosis
195,"neck pain ,loss of sensation ,paresthesia ,ache all over ,lower body pain ",spondylosis
196,"leg pain ,arm pain ,low back pain ,paresthesia ,ache all over ",spondylosis
197,"leg pain ,arm pain ,back pain ,loss of sensation ,paresthesia ,ache all over ",spondylosis
198,"leg pain ,loss of sensation ,shoulder pain ,ache all over ",spondylosis
199,"leg pain ,low back pain ,paresthesia ,shoulder pain ,ache all over ,lower body pain ",spondylosis
200,"leg pain ,arm pain ,back pain ,neck pain ,knee pain ,lower body pain ",spondylosis
201,"hip pain ,back pain ,neck pain ,low back pain ,knee pain ,loss of sensation ,paresthesia ,shoulder pain ,lower body pain ",spondylosis
202,"hip pain ,neck pain ,ache all over ,lower body pain ",spondylosis
203,"hip pain ,arm pain ,back pain ,low back pain ,knee pain ,loss of sensation ,paresthesia ,shoulder pain ,ache all over ,lower body pain ",spondylosis
204,"leg pain ,hip pain ,back pain ,neck pain ,low back pain ,loss of sensation ,paresthesia ,ache all over ",spondylosis
205,"hip pain ,arm pain ,low back pain ,paresthesia ,shoulder pain ,lower body pain ",spondylosis
206,"leg pain ,hip pain ,back pain ,knee pain ,loss of sensation ,shoulder pain ",spondylosis
207,"leg pain ,hip pain ,arm pain ,back pain ,low back pain ,knee pain ,paresthesia ,ache all over ,lower body pain ",spondylosis
208,"hip pain ,back pain ,neck pain ,loss of sensation ,lower body pain ",spondylosis
209,"leg pain ,hip pain ,back pain ,neck pain ,low back pain ,knee pain ,loss of sensation ,paresthesia ,shoulder pain ,ache all over ",spondylosis
210,"hip pain ,arm pain ,back pain ,neck pain ,low back pain ,shoulder pain ,ache all over ,lower body pain ",spondylosis
211,"hip pain ,back pain ,low back pain ,knee pain ",spondylosis
212,"low back pain ,shoulder pain ,ache all over ,lower body pain ",spondylosis
213,"hip pain ,arm pain ,neck pain ,low back pain ,shoulder pain ,lower body pain ",spondylosis
214,"arm pain ,knee pain ,loss of sensation ,paresthesia ,lower body pain ",spondylosis
215,low back pain ,spondylosis
216,"hip pain ,neck pain ,paresthesia ,shoulder pain ,ache all over ",spondylosis
217,"hip pain ,back pain ,neck pain ,knee pain ,paresthesia ,lower body pain ",spondylosis
218,"leg pain ,arm pain ,low back pain ,knee pain ,loss of sensation ,shoulder pain ",spondylosis
219,"leg pain ,hip pain ,arm pain ,back pain ,loss of sensation ,shoulder pain ",spondylosis
220,"hip pain ,neck pain ,low back pain ,paresthesia ,shoulder pain ",spondylosis
221,"arm pain ,back pain ,neck pain ,paresthesia ,shoulder pain ,ache all over ,lower body pain ",spondylosis
222,"leg pain ,hip pain ,arm pain ,back pain ,low back pain ,loss of sensation ,shoulder pain ,ache all over ",spondylosis
223,"leg pain ,hip pain ,low back pain ,knee pain ,loss of sensation ,paresthesia ,shoulder pain ",spondylosis
224,"hip pain ,arm pain ,back pain ,neck pain ,low back pain ,paresthesia ,shoulder pain ",spondylosis
225,"hip pain ,arm pain ,back pain ,low back pain ,knee pain ,loss of sensation ",spondylosis
226,"arm pain ,neck pain ,loss of sensation ,lower body pain ",spondylosis
227,"hip pain ,back pain ,low back pain ,knee pain ,paresthesia ",spondylosis
228,"hip pain ,shoulder pain ,ache all over ",spondylosis
229,"arm pain ,back pain ,neck pain ,knee pain ,loss of sensation ,shoulder pain ,ache all over ",spondylosis
230,"arm pain ,back pain ,low back pain ,paresthesia ,shoulder pain ,ache all over ,lower body pain ",spondylosis
231,"back pain ,neck pain ,knee pain ,loss of sensation ,paresthesia ,shoulder pain ,ache all over ",spondylosis
232,"leg pain ,hip pain ,paresthesia ",spondylosis
233,"leg pain ,hip pain ,back pain ,knee pain ,paresthesia ",spondylosis
234,"hip pain ,low back pain ,loss of sensation ,paresthesia ,shoulder pain ,ache all over ,lower body pain ",spondylosis
235,"leg pain ,arm pain ,low back pain ,loss of sensation ,paresthesia ,shoulder pain ,lower body pain ",spondylosis
236,"hip pain ,arm pain ,low back pain ,shoulder pain ,lower body pain ",spondylosis
237,"leg pain ,shoulder pain ",spondylosis
238,"leg pain ,hip pain ,arm pain ,neck pain ,low back pain ,loss of sensation ,paresthesia ,shoulder pain ,ache all over ,lower body pain ",spondylosis
239,"arm pain ,neck pain ,knee pain ,paresthesia ,ache all over ,lower body pain ",spondylosis
240,"leg pain ,hip pain ,back pain ,low back pain ,shoulder pain ,lower body pain ",spondylosis
241,"leg pain ,arm pain ,back pain ,low back pain ,loss of sensation ,paresthesia ,ache all over ",spondylosis
242,"leg pain ,arm pain ,back pain ,low back pain ,paresthesia ,shoulder pain ,ache all over ,lower body pain ",spondylosis
243,"leg pain ,hip pain ,back pain ,neck pain ,loss of sensation ,paresthesia ,shoulder pain ,lower body pain ",spondylosis
244,"hip pain ,arm pain ,back pain ,neck pain ,low back pain ,knee pain ,loss of sensation ,shoulder pain ",spondylosis
245,"hip pain ,arm pain ,loss of sensation ,ache all over ",spondylosis
246,"hip pain ,arm pain ,back pain ,loss of sensation ,shoulder pain ,ache all over ,lower body pain ",spondylosis
247,"leg pain ,back pain ,neck pain ,low back pain ,knee pain ,loss of sensation ,paresthesia ,ache all over ",spondylosis
248,"leg pain ,hip pain ,arm pain ,back pain ,neck pain ,loss of sensation ,paresthesia ,ache all over ",spondylosis
249,"back pain ,neck pain ,low back pain ,knee pain ,loss of sensation ,paresthesia ,shoulder pain ,ache all over ,lower body pain ",spondylosis
250,"leg pain ,hip pain ,arm pain ,neck pain ,loss of sensation ,paresthesia ,ache all over ",spondylosis
251,"leg pain ,hip pain ,arm pain ,back pain ,low back pain ,paresthesia ,shoulder pain ,ache all over ",spondylosis
252,"leg pain ,hip pain ,knee pain ,shoulder pain ,ache all over ",spondylosis
253,"hip pain ,arm pain ,back pain ,knee pain ,lower body pain ",spondylosis
254,"leg pain ,low back pain ,loss of sensation ,shoulder pain ",spondylosis
255,"leg pain ,hip pain ,arm pain ,low back pain ,knee pain ,loss of sensation ,shoulder pain ,ache all over ,lower body pain ",spondylosis
256,"back pain ,neck pain ,low back pain ,loss of sensation ",spondylosis
257,"leg pain ,hip pain ,arm pain ,back pain ,neck pain ,low back pain ,knee pain ,loss of sensation ,ache all over ,lower body pain ",spondylosis
258,"arm pain ,back pain ,neck pain ,paresthesia ,ache all over ",spondylosis
259,"hip pain ,arm pain ,back pain ,neck pain ,low back pain ,paresthesia ,ache all over ",spondylosis
260,"leg pain ,arm pain ,back pain ,low back pain ,knee pain ,lower body pain ",spondylosis
261,"hip pain ,back pain ,paresthesia ,shoulder pain ",spondylosis
262,"arm pain ,neck pain ,paresthesia ",spondylosis
263,"hip pain ,arm pain ,back pain ,low back pain ,paresthesia ,ache all over ",spondylosis
264,"back pain ,neck pain ,paresthesia ",spondylosis
265,"leg pain ,hip pain ,arm pain ,back pain ,neck pain ,knee pain ,paresthesia ,shoulder pain ,ache all over ,lower body pain ",spondylosis
266,"leg pain ,back pain ,neck pain ,paresthesia ",spondylosis
267,"back pain ,loss of sensation ,paresthesia ,shoulder pain ,ache all over ",spondylosis
268,"leg pain ,low back pain ,ache all over ,lower body pain ",spondylosis
269,"hip pain ,back pain ,low back pain ,knee pain ,paresthesia ,ache all over ,lower body pain ",spondylosis
270,"back pain ,neck pain ,low back pain ,loss of sensation ,paresthesia ,shoulder pain ,ache all over ",spondylosis
271,"leg pain ,hip pain ,neck pain ,paresthesia ,ache all over ",spondylosis
272,"leg pain ,arm pain ,back pain ,knee pain ,shoulder pain ",spondylosis
273,"arm pain ,neck pain ,low back pain ,loss of sensation ,paresthesia ,shoulder pain ,lower body pain ",spondylosis
274,"arm pain ,back pain ,neck pain ,knee pain ,paresthesia ,lower body pain ",spondylosis
275,"arm pain ,back pain ,low back pain ,knee pain ,ache all over ,lower body pain ",spondylosis
276,"back pain ,neck pain ,low back pain ,knee pain ,loss of sensation ,lower body pain ",spondylosis
277,"leg pain ,back pain ,neck pain ,loss of sensation ,shoulder pain ,ache all over ",spondylosis
278,"leg pain ,hip pain ,arm pain ,back pain ,knee pain ,loss of sensation ,paresthesia ",spondylosis
279,"hip pain ,arm pain ,neck pain ,low back pain ,loss of sensation ,paresthesia ,ache all over ,lower body pain ",spondylosis
280,"back pain ,low back pain ,knee pain ,loss of sensation ,paresthesia ,shoulder pain ",spondylosis
281,"leg pain ,hip pain ,back pain ,knee pain ,loss of sensation ,shoulder pain ,ache all over ,lower body pain ",spondylosis
282,"hip pain ,back pain ,neck pain ,low back pain ,ache all over ,lower body pain ",spondylosis
283,"leg pain ,back pain ,neck pain ,low back pain ",spondylosis
284,"hip pain ,arm pain ,neck pain ,loss of sensation ,shoulder pain ,ache all over ,lower body pain ",spondylosis
285,"leg pain ,arm pain ,back pain ,low back pain ,loss of sensation ,paresthesia ",spondylosis
286,"leg pain ,back pain ,neck pain ,knee pain ,loss of sensation ,paresthesia ,lower body pain ",spondylosis
287,"leg pain ,arm pain ,back pain ,neck pain ,shoulder pain ,ache all over ,lower body pain ",spondylosis
288,"leg pain ,arm pain ,neck pain ,low back pain ,knee pain ,loss of sensation ,shoulder pain ,lower body pain ",spondylosis
289,"hip pain ,back pain ,paresthesia ,lower body pain ",spondylosis
290,"arm pain ,back pain ,neck pain ,shoulder pain ,ache all over ",spondylosis
291,"back pain ,knee pain ,ache all over ",spondylosis
292,"hip pain ,low back pain ,loss of sensation ,paresthesia ,shoulder pain ",spondylosis
293,"leg pain ,hip pain ,shoulder pain ",spondylosis
294,"back pain ,neck pain ,low back pain ",spondylosis
